FEATURE_GRAPH_NODES,25092,6
FEATURE_GRAPH_EDGES,305870,5
FEATURE_GRAPH_NODES_EDGES,1.2,0.0075
FEATURE_GRAPH_EDGES_NODES,133.340483,0.833333
FEATURE_INBOUND_CONNECTIONS,2,1
FEATURE_OUTBOUND_CONNECTIONS,0,0
FEATURE_INBOUND_OUTBOUND_CONNECTIONS,2,1
FEATURE_AVERAGE_DEGREE_CONNECTIVITY,1.0,1.3000000000000001e-05
FEATURE_DESCENDANTS,0,0
FEATURE_ASCENDANT_SCRIPT_LENGTH,5900054,0
FEATURE_FIRST_NUMBER_OF_SIBLINGS,5,0
FEATURE_FIRST_PARENT_NUMBER_OF_SIBLINGS,564,0
FEATURE_FIRST_PARENT_INBOUND_CONNECTIONS,18,0
FEATURE_FIRST_PARENT_OUTBOUND_CONNECTIONS,5,0
FEATURE_FIRST_PARENT_INBOUND_OUTBOUND_CONNECTIONS,19,0
FEATURE_FIRST_PARENT_AVERAGE_DEGREE_CONNECTIVITY,0.75,0.0
FEATURE_SECOND_NUMBER_OF_SIBLINGS,10,0
FEATURE_SECOND_PARENT_NUMBER_OF_SIBLINGS,524,0
FEATURE_SECOND_PARENT_INBOUND_CONNECTIONS,19,0
FEATURE_SECOND_PARENT_OUTBOUND_CONNECTIONS,10,0
FEATURE_SECOND_PARENT_INBOUND_OUTBOUND_CONNECTIONS,29,0
FEATURE_SECOND_PARENT_AVERAGE_DEGREE_CONNECTIVITY,0.8888889999999999,0.0
FEATURE_URL_LENGTH,5596,15
