GlobalRank,TldRank,Domain,TLD,RefSubNets,RefIPs,IDN_Domain,IDN_TLD,PrevGlobalRank,PrevTldRank,PrevRefSubNets,PrevRefIPs
1,1,facebook.com,com,503177,3016218,facebook.com,com,1,1,502526,3015074
2,2,google.com,com,502345,2846157,google.com,com,2,2,501637,2846655
3,3,youtube.com,com,455772,2460699,youtube.com,com,3,3,455219,2460450
4,4,twitter.com,com,446546,2418886,twitter.com,com,4,4,445908,2418197
5,5,instagram.com,com,356546,1765872,instagram.com,com,5,5,355875,1765403
6,6,linkedin.com,com,346320,1557020,linkedin.com,com,6,6,345776,1556271
7,7,microsoft.com,com,317686,1183662,microsoft.com,com,7,7,316794,1182237
8,8,apple.com,com,299634,1067972,apple.com,com,8,8,299000,1067724
9,1,wikipedia.org,org,293778,1165880,wikipedia.org,org,9,1,293494,1166083
10,9,plus.google.com,com,261924,1149512,plus.google.com,com,10,9,261647,1148942
11,2,en.wikipedia.org,org,246395,871208,en.wikipedia.org,org,11,2,246184,871239
12,10,googletagmanager.com,com,243621,868537,googletagmanager.com,com,12,10,243266,868270
13,1,youtu.be,be,243206,869321,youtu.be,be,13,1,242581,869991
14,11,pinterest.com,com,235857,1028403,pinterest.com,com,14,11,235494,1027953
15,12,vimeo.com,com,230979,914640,vimeo.com,com,15,12,230810,915663
16,13,adobe.com,com,227023,699502,adobe.com,com,16,13,226810,699738
17,14,play.google.com,com,226125,696377,play.google.com,com,17,14,225632,695909
18,15,itunes.apple.com,com,220350,652314,itunes.apple.com,com,18,15,219961,652852
19,16,maps.google.com,com,218285,800884,maps.google.com,com,19,16,218079,801244
20,1,goo.gl,gl,216011,751319,goo.gl,gl,20,1,215911,751694
21,17,wordpress.com,com,212241,753581,wordpress.com,com,21,17,212036,754050
22,1,bit.ly,ly,201715,655710,bit.ly,ly,22,1,201489,656171
23,18,blogspot.com,com,199763,695258,blogspot.com,com,23,18,199644,695860
24,19,github.com,com,197560,563587,github.com,com,24,19,197342,563159
25,3,wordpress.org,org,197034,823768,wordpress.org,org,25,3,197027,823788
26,20,player.vimeo.com,com,193385,724240,player.vimeo.com,com,26,20,193467,725456
27,21,amazon.com,com,190330,621030,amazon.com,com,27,21,190171,621538
28,22,docs.google.com,com,189139,593827,docs.google.com,com,28,22,188862,593860
29,23,yahoo.com,com,177052,509473,yahoo.com,com,29,23,176917,510019
30,4,mozilla.org,org,167524,500416,mozilla.org,org,31,4,165885,496186
31,24,tumblr.com,com,166656,586829,tumblr.com,com,30,24,166310,585363
32,25,drive.google.com,com,154957,448328,drive.google.com,com,32,25,155073,448851
33,26,flickr.com,com,152513,471922,flickr.com,com,33,26,152452,472472
34,27,support.google.com,com,147194,500149,support.google.com,com,34,27,146977,499997
35,28,gravatar.com,com,145859,494019,gravatar.com,com,35,28,145749,493590
36,1,europa.eu,eu,141713,475171,europa.eu,eu,36,1,141277,474807
37,29,godaddy.com,com,139134,379168,godaddy.com,com,37,29,139918,382278
38,30,qq.com,com,138867,1282424,qq.com,com,38,30,138815,1282773
39,31,reddit.com,com,136980,451274,reddit.com,com,39,31,136958,451205
40,32,nytimes.com,com,136227,393353,nytimes.com,com,40,32,136188,393646
41,5,apache.org,org,135813,291466,apache.org,org,41,5,135772,291504
42,6,w3.org,org,133187,311154,w3.org,org,42,6,133154,311220
43,33,soundcloud.com,com,129497,407218,soundcloud.com,com,43,33,129483,407258
44,34,amazonaws.com,com,129276,311624,amazonaws.com,com,44,34,128971,311378
45,35,sites.google.com,com,128773,329357,sites.google.com,com,45,35,128655,329181
46,1,nih.gov,gov,128265,350053,nih.gov,gov,46,1,128055,350044
47,36,macromedia.com,com,127114,326427,macromedia.com,com,47,36,127065,326658
48,37,apps.apple.com,com,125285,286856,apps.apple.com,com,49,37,124846,285965
49,1,t.co,co,125037,373916,t.co,co,48,1,124889,374183
50,38,support.microsoft.com,com,123876,310885,support.microsoft.com,com,51,39,123748,311327
51,39,get.adobe.com,com,123873,296674,get.adobe.com,com,50,38,123992,297449
52,40,whatsapp.com,com,123573,435216,whatsapp.com,com,52,40,123376,434622
53,1,sourceforge.net,net,123063,273260,sourceforge.net,net,53,1,122995,273026
54,41,forbes.com,com,121481,323592,forbes.com,com,54,41,121220,323852
55,42,theguardian.com,com,116991,322343,theguardian.com,com,55,42,117196,323827
56,1,github.io,io,116571,270034,github.io,io,56,1,116728,270540
57,43,medium.com,com,115808,301944,medium.com,com,57,43,115824,302235
58,44,virginmedia.com,com,115393,278929,virginmedia.com,com,59,45,115075,277954
